"code","91414"
"taluk","Ron"
"village","HIREHAL"
"lat","15.8"
"long","75.76667"
"2007-04-01","21.95"
"2007-05-01","21.95"
"2007-06-01","21.95"
"2007-07-01","19.45"
"2007-08-01","17.56"
"2007-09-01","13.6"
"2007-10-01","10.15"
"2007-11-01","11"
"2007-12-01","11.4"
"2008-04-01",15
"2008-05-01",15
"2008-06-01",15
"2008-07-01",16.56
"2008-08-01",16.1
"2008-09-01",16.8
"2008-10-01",16.5
"2008-11-01",16.95
"2008-12-01",17
"2009-04-01","17.51"
"2009-05-01","17.511"
"2009-06-01","17.51"
"2009-07-01","17.96"
"2009-08-01","18.1"
"2009-09-01","18"
"2009-10-01","17.75"
"2009-11-01","15.1"
"2009-12-01","12.93"
"2010-01-01","13.0200004577637"
"2010-02-01","13.1300001144409"
"2010-03-01","13.5299997329712"
"2010-04-01","14"
"2010-05-01","14.3000001907349"
"2010-06-01","13.3999996185303"
"2010-07-01","13.25"
"2010-08-01","13"
"2010-09-01","13.3999996185303"
"2010-10-01","13.8999996185303"
"2010-11-01","13.8000001907349"
"2010-12-01","14.3000001907349"
"2011-01-01","14.3999996185303"
"2011-02-01","14.6000003814697"
"2011-03-01","13.5"
"2011-04-01","13.25"
"2011-05-01","12.8999996185303"
"2011-06-01","12.4499998092651"
"2011-07-01","12.25"
"2011-08-01","12"
"2011-09-01","12.1000003814697"
"2011-10-01","12.6999998092651"
"2011-11-01","12.8000001907349"
"2011-12-01","13.1499996185303"
"2012-01-01","13.5"
"2012-02-01","13.8999996185303"
"2012-03-01","14.8000001907349"
"2012-04-01","15.5"
"2012-05-01","15.8000001907349"
"2012-06-01","16.1000003814697"
"2012-07-01","15.8000001907349"
"2012-08-01","15.3999996185303"
"2012-09-01","15.1499996185303"
"2012-10-01","15"
"2012-11-01","15.8999996185303"
"2012-12-01","16.5"
"2013-01-01","17.2000007629395"
"2013-02-01","18.1000003814697"
"2013-03-01","19.1000003814697"
"2013-04-01","20.2000007629395"
"2013-05-01","20.3999996185303"
"2013-06-01","20.5"
"2013-07-01","20.75"
"2013-08-01","20.2000007629395"
"2013-09-01","21.2999992370605"
"2013-10-01","21.1499996185303"
"2013-11-01","21"
"2013-12-01","21.3999996185303"
"2014-01-01","21.2000007629395"
"2014-02-01","21.3999996185303"
"2014-03-01","21.6299991607666"
"2014-04-01","21.9099998474121"
"2014-05-01","Cap Jam"
"2014-06-01","Cap Jam"
"2014-07-01","Cap Jam"
"2014-08-01","Cap Jam"
"2014-09-01","Cap Jam"
"2014-10-01","Cap Jam"
"2014-11-01","Cap Jam"
"2014-12-01","Cap Jam"
"2015-01-01","Lock Jam"
"2015-02-01","Lock Jam"
"2015-03-01","Lock Jam"
"2015-04-01","Lock Jam"
"2015-05-01","Lock Jam"
"2015-06-01","13.4200000762939"
"2015-07-01","14.1000003814697"
"2015-08-01","14"
"2015-09-01","13.8000001907349"
"2015-10-01","13.0500001907349"
"2015-11-01","13.0500001907349"
"2015-12-01","14.5"
"2016-01-01","Lock Jam"
"2016-02-01","Lock Jam"
"2016-03-01","Lock Jam"
"2016-04-01","14.3"
"2016-05-01","14.38"
"2016-06-01","14.3"
"2016-07-01","13.4"
"2016-08-01","13"
"2016-09-01","13.1"
"2016-10-01","14.1"
"2016-11-01","14.6"
"2017-01-01","14.86"
"2017-02-01","14.96"
"2017-03-01","14.98"
"2017-04-01","14.95"
"2017-05-01","15.21"
"2017-06-01","14.86"
"2017-07-01","14.8"
"2017-08-01","14.15"
"2017-09-01","13.5"
"2017-10-01","13.3"
"2017-11-01","14.1"
"2017-12-01","14.4"
"2018-01-01","14.7"
"2018-02-01","14.9"
"2018-03-01","15.2"
"2018-04-01","15.95"
"2018-05-01","16.8"
"2018-06-01","16.3"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
