"code","90304"
"taluk","Gadag"
"village","HARTI"
"lat","15.325"
"long","75.55833"
"2007-04-01","0"
"2007-05-01","0"
"2007-06-01","0"
"2007-07-01","0"
"2007-08-01","0"
"2007-09-01","0"
"2007-10-01","7.3"
"2007-11-01","0"
"2007-12-01","7.4"
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",8.45
"2008-11-01",0
"2008-12-01",11.3
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","0"
"2009-08-01","0"
"2009-09-01","0"
"2009-10-01","16.65"
"2009-11-01","0"
"2009-12-01","16.8"
"2010-01-01","Cap Jam"
"2010-02-01","cap Jam"
"2010-03-01","Cap Jam"
"2010-04-01","Cap Jam"
"2010-05-01","8.65"
"2010-06-01","8.9"
"2010-07-01","7.75"
"2010-08-01","7.5"
"2010-09-01","6.5"
"2010-10-01","5.25"
"2010-11-01","5.45"
"2010-12-01","4.25"
"2011-01-01","4.84999990463257"
"2011-02-01","4.90000009536743"
"2011-03-01","6.30000019073486"
"2011-04-01","6.90000009536743"
"2011-05-01","6.90000009536743"
"2011-06-01","6.90000009536743"
"2011-07-01","7"
"2011-08-01","6.90000009536743"
"2011-09-01","7.09999990463257"
"2011-10-01","7.30000019073486"
"2011-11-01","6.69999980926514"
"2011-12-01","7.40000009536743"
"2012-01-01","7.69999980926514"
"2012-02-01","7.90000009536743"
"2012-03-01","8.30000019073486"
"2012-04-01","8.5"
"2012-05-01","8.60000038146973"
"2012-06-01","8.69999980926514"
"2012-07-01","8.94999980926514"
"2012-08-01","8.89999961853027"
"2012-09-01","8.64999961853027"
"2012-10-01","8.44999980926514"
"2012-11-01","9.80000019073486"
"2012-12-01","11.3000001907349"
"2013-01-01","12.8999996185303"
"2013-02-01","14.6000003814697"
"2013-03-01","16.3999996185303"
"2013-04-01","17.3500003814697"
"2013-05-01","17.3500003814697"
"2013-06-01","16.5"
"2013-07-01","16.7000007629395"
"2013-08-01","16.8500003814697"
"2013-09-01","16.7999992370605"
"2013-10-01","16.6499996185303"
"2013-11-01","16.6000003814697"
"2013-12-01","16.7999992370605"
"2014-01-01","17.1000003814697"
"2014-02-01","17.5"
"2014-03-01","17.9500007629395"
"2014-04-01","18.4500007629395"
"2014-05-01","Cap Jam"
"2014-06-01","Cap Jam"
"2014-07-01","Cap Jam"
"2014-08-01","Cap Jam"
"2014-09-01","Cap Jam"
"2014-10-01","Cap Jam"
"2014-11-01","Cap Jam"
"2014-12-01","Cap Jam"
"2015-01-01","Cap Jam"
"2015-02-01","Cap Jam"
"2015-03-01","Cap Jam"
"2015-04-01","Cap Jam"
"2015-05-01","Cap Jam"
"2015-06-01","Cap Jam"
"2015-07-01","11.9799995422363"
"2015-08-01","11.8800001144409"
"2015-09-01","11.9799995422363"
"2015-10-01","11"
"2015-11-01","11.0299997329712"
"2015-12-01","12"
"2016-01-01","13.1700000762939"
"2016-02-01","13.8999996185303"
"2016-03-01","14.75"
"2016-04-01","14.49"
"2016-05-01","15.45"
"2016-06-01","15.6"
"2016-07-01","15.3"
"2016-08-01","14.75"
"2016-09-01","14.65"
"2016-10-01","15.86"
"2016-11-01","15.66"
"2017-01-01","16.78"
"2017-02-01","16.9"
"2017-03-01","16.9"
"2017-04-01","16.95"
"2017-05-01","17.2"
"2017-06-01","Dry"
"2017-07-01","17.5"
"2017-08-01","16.85"
"2017-09-01","15.6"
"2017-10-01","12.4"
"2017-11-01","12.65"
"2017-12-01","13.8"
"2018-01-01","13.9"
"2018-02-01","14"
"2018-03-01","15"
"2018-04-01","0"
"2018-05-01","14.91"
"2018-06-01","12.41"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
