"code","90309"
"taluk","Gadag"
"village","LAKKUNDI"
"lat","15.14028"
"long","75.71667"
"2007-04-01","0"
"2007-05-01","0"
"2007-06-01","0"
"2007-07-01","14.55"
"2007-08-01","11.75"
"2007-09-01","0"
"2007-10-01","18.25"
"2007-11-01","0"
"2007-12-01","0"
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",6.09
"2009-04-01","6.2"
"2009-05-01","6.2"
"2009-06-01","6.2"
"2009-07-01","6.85"
"2009-08-01","6.9"
"2009-09-01","0"
"2009-10-01","4.9"
"2009-11-01","4.6"
"2009-12-01","3.85"
"2010-01-01","5.6"
"2010-02-01","6.15"
"2010-03-01","5.59"
"2010-04-01","6.2"
"2010-05-01","6.4"
"2010-06-01","6.3"
"2010-07-01","6.85"
"2010-08-01","6.9"
"2010-09-01","6.7"
"2010-10-01","4.9"
"2010-11-01","4.6"
"2010-12-01","3.85"
"2011-01-01","4.19999980926514"
"2011-02-01","4.69999980926514"
"2011-03-01","5.30000019073486"
"2011-04-01","5.40000009536743"
"2011-05-01","5.90000009536743"
"2011-06-01","5.40000009536743"
"2011-07-01","5.19999980926514"
"2011-08-01","5.80000019073486"
"2011-09-01","6"
"2011-10-01","6.30000019073486"
"2011-11-01","6.40000009536743"
"2011-12-01","6.55000019073486"
"2012-01-01","7"
"2012-02-01","7.90000009536743"
"2012-03-01","8.89999961853027"
"2012-04-01","9.64999961853027"
"2012-05-01","10"
"2012-06-01","10.1999998092651"
"2012-07-01","10.3500003814697"
"2012-08-01","10.4499998092651"
"2012-09-01","10.3000001907349"
"2012-10-01","10"
"2012-11-01","10.3000001907349"
"2012-12-01","10.8000001907349"
"2013-01-01","11.3999996185303"
"2013-02-01","12.1000003814697"
"2013-03-01","12.8999996185303"
"2013-04-01","13.8000001907349"
"2013-05-01","13.6999998092651"
"2013-06-01","13.6000003814697"
"2013-07-01","Fiiled up"
"2013-08-01","Fiiled up"
"2013-09-01","Fiiled up"
"2013-10-01","Fiiled up"
"2013-11-01","Fiiled up"
"2013-12-01","Fiiled up"
"2014-01-01","Fiiled up"
"2014-02-01","Fiiled up"
"2014-03-01","Fiiled up"
"2014-04-01","Fiiled up"
"2014-05-01","Fiiled up"
"2014-06-01","Fiiled up"
"2014-07-01","Fiiled up"
"2014-08-01","Fiiled up"
"2014-09-01","Fiiled up"
"2014-10-01","Fiiled up"
"2014-11-01","Fiiled up"
"2014-12-01","Fiiled up"
"2015-01-01","Fiiled up"
"2015-02-01","Fiiled up"
"2015-03-01","Fiiled up"
"2015-04-01","Fiiled up"
"2015-05-01","Fiiled up"
"2015-06-01","Fiiled up"
"2015-07-01","Fiiled up"
"2015-08-01","Fiiled up"
"2015-09-01","Fiiled up"
"2015-10-01","Fiiled up"
"2015-11-01","Fiiled up"
"2015-12-01","Fiiled up"
"2016-01-01","Fiiled up"
"2016-02-01","Fiiled up"
"2016-03-01","Fiiled up"
"2016-04-01","0"
"2016-05-01","Fiiled up"
"2016-06-01","Fiiled up"
"2016-07-01","Fiiled up"
"2016-08-01","Fiiled up"
"2016-09-01","Fiiled up"
"2016-10-01","Fiiled up"
"2016-11-01","Fiiled up"
"2017-01-01",NA
"2017-02-01",NA
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01",NA
"2017-07-01","Dry"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Demolished"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
