"code","91003"
"taluk","Mundragi"
"village","DAMBAL"
"lat","15.29389"
"long","75.775"
"2007-04-01","0"
"2007-05-01","0"
"2007-06-01","0"
"2007-07-01","14.65"
"2007-08-01","12"
"2007-09-01","8.61"
"2007-10-01","0"
"2007-11-01","0"
"2007-12-01","0"
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",6.35
"2009-04-01","7.5"
"2009-05-01","7.05"
"2009-06-01","7.05"
"2009-07-01","8.1"
"2009-08-01","9.2"
"2009-09-01","8.9"
"2009-10-01","7.65"
"2009-11-01","7.5"
"2009-12-01","8.55"
"2010-01-01","6.75"
"2010-02-01","7.52"
"2010-03-01","7.65"
"2010-04-01","7.05"
"2010-05-01","7.55"
"2010-06-01","8.25"
"2010-07-01","8.1"
"2010-08-01","9.2"
"2010-09-01","8.9"
"2010-10-01","7.95"
"2010-11-01","7.5"
"2010-12-01","8.55"
"2011-01-01","10.1499996185303"
"2011-02-01","10.3000001907349"
"2011-03-01","9.85000038146973"
"2011-04-01","10"
"2011-05-01","10.3999996185303"
"2011-06-01","10.6000003814697"
"2011-07-01","10.1999998092651"
"2011-08-01","9"
"2011-09-01","9.10000038146973"
"2011-10-01","9.69999980926514"
"2011-11-01","8.89999961853027"
"2011-12-01","9"
"2012-01-01","9.30000019073486"
"2012-02-01","10.8999996185303"
"2012-03-01","12.1000003814697"
"2012-04-01","13.1000003814697"
"2012-05-01","13.5"
"2012-06-01","13.6999998092651"
"2012-07-01","13.6499996185303"
"2012-08-01","13.25"
"2012-09-01","12.8000001907349"
"2012-10-01","12.3999996185303"
"2012-11-01","Dry"
"2012-12-01","Dry"
"2013-01-01","Seepage "
"2013-02-01","Seepage "
"2013-03-01","Seepage "
"2013-04-01","Seepage "
"2013-05-01","Seepage "
"2013-06-01","Seepage "
"2013-07-01","Seepage "
"2013-08-01","Seepage "
"2013-09-01","Seepage "
"2013-10-01","Seepage "
"2013-11-01","Seepage "
