"code","90303"
"taluk","Gadag"
"village","PAPANASHI"
"lat","15.36667"
"long","75.68333"
"2007-04-01","27.3"
"2007-05-01","27.3"
"2007-06-01","27.3"
"2007-07-01","26.45"
"2007-08-01","24.45"
"2007-09-01","19.55"
"2007-10-01","17"
"2007-11-01","0"
"2007-12-01","17.95"
"2008-04-01",21.2
"2008-05-01",21.2
"2008-06-01",21.2
"2008-07-01",22.95
"2008-08-01",23.05
"2008-09-01",23.2
"2008-10-01",23
"2008-11-01",23.5
"2008-12-01",23.7
"2009-04-01","24.29"
"2009-05-01","24.29"
"2009-06-01","24.29"
"2009-07-01","24.6"
"2009-08-01","24.8"
"2009-09-01","24.65"
"2009-10-01","24.5"
"2009-11-01","23"
"2009-12-01","0"
"2010-01-01","Lock Jam"
"2010-02-01","Lock Jam"
"2010-03-01","Lock Jam"
"2010-04-01","Lock Jam"
"2010-05-01","13.95"
"2010-06-01","15.5"
"2010-07-01","15.15"
"2010-08-01","15"
"2010-09-01","14.7"
"2010-10-01","Lock Jam"
"2010-11-01","Lock Jam"
"2010-12-01","Lock Jam"
"2011-01-01","Fiiled up"
"2011-02-01","Fiiled up"
"2011-03-01","Fiiled up"
"2011-04-01","Fiiled up"
"2011-05-01","Fiiled up"
"2011-06-01","Fiiled up"
"2011-07-01","Fiiled up"
"2011-08-01","Fiiled up"
"2011-09-01","Fiiled up"
"2011-10-01","Fiiled up"
"2011-11-01","Fiiled up"
"2011-12-01","Fiiled up"
"2012-01-01","Lock jam"
"2012-02-01","Lock jam"
"2012-03-01","Lock jam"
"2012-04-01","Lock jam"
"2012-05-01","Lock jam"
"2012-06-01","Lock jam"
"2012-07-01","Lock jam"
"2012-08-01","Lock jam"
"2012-09-01","Lock jam"
"2012-10-01","Lock jam"
"2012-11-01","18.4500007629395"
"2012-12-01","18.6000003814697"
"2013-01-01","18.8500003814697"
"2013-02-01","19.2000007629395"
"2013-03-01","19.7000007629395"
"2013-04-01","20.2999992370605"
"2013-05-01","20.1000003814697"
"2013-06-01","19.8999996185303"
"2013-07-01","20.1000003814697"
"2013-08-01","20.2000007629395"
"2013-09-01","20.1000003814697"
"2013-10-01","19.7999992370605"
"2013-11-01","19.6499996185303"
"2013-12-01","19.75"
"2014-01-01","19.7999992370605"
"2014-02-01","19.8999996185303"
"2014-03-01","20.0499992370605"
"2014-04-01","20.25"
"2014-05-01","20.2399997711182"
"2014-06-01","20.25"
"2014-07-01","20.3500003814697"
"2014-08-01","19.3500003814697"
"2014-09-01","18.8500003814697"
"2014-10-01","18.5499992370605"
"2014-11-01","18.3999996185303"
"2014-12-01","18.4500007629395"
"2015-01-01","18.7000007629395"
"2015-02-01","19"
"2015-03-01","19.3500003814697"
"2015-04-01","19.6499996185303"
"2015-05-01","19.8500003814697"
"2015-06-01","17.8999996185303"
"2015-07-01","17.9500007629395"
"2015-08-01","16.1499996185303"
"2015-09-01","15.8000001907349"
"2015-10-01","13.9899997711182"
"2015-11-01","13.9899997711182"
"2015-12-01","14.3500003814697"
"2016-01-01","17.5"
"2016-02-01","18.4799995422363"
"2016-03-01","18.9500007629395"
"2016-04-01","19"
"2016-05-01","17.35"
"2016-06-01","17.48"
"2016-07-01","16.8"
"2016-08-01","17.3"
"2016-09-01","16.9"
"2016-10-01","19.75"
"2016-11-01","21.25"
"2017-01-01","22.98"
"2017-02-01","23"
"2017-03-01","23.35"
"2017-04-01","23.9"
"2017-05-01","24.1"
"2017-06-01","30.22"
"2017-07-01","30.6"
"2017-08-01","30.1"
"2017-09-01","27.5"
"2017-10-01","12.3"
"2017-11-01","13.4"
"2017-12-01","Filled with mud"
"2018-01-01","0"
"2018-02-01","0"
"2018-03-01","0"
"2018-04-01","0"
"2018-05-01","0"
"2018-06-01","0"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
