"code","91405"
"taluk","Ron"
"village","MUSHIGERI"
"lat","15.79722"
"long","75.85694"
"2007-04-01","46.3"
"2007-05-01","46.3"
"2007-06-01","46.3"
"2007-07-01","44.45"
"2007-08-01","41.45"
"2007-09-01","34.16"
"2007-10-01","30.12"
"2007-11-01","30.62"
"2007-12-01","30.94"
"2008-04-01",33.6
"2008-05-01",33.6
"2008-06-01",33.6
"2008-07-01",35.32
"2008-08-01",35.5
"2008-09-01",35.17
"2008-10-01",35.5
"2008-11-01",35.8
"2008-12-01",36
"2009-04-01","35.53"
"2009-05-01","0"
"2009-06-01","36.53"
"2009-07-01","36.63"
"2009-08-01","36.77"
"2009-09-01","36.12"
"2009-10-01","36.1"
"2009-11-01","30"
"2009-12-01","0"
"2010-01-01","Cap Jam"
"2010-02-01","Cap Jam"
"2010-03-01","Cap Jam"
"2010-04-01","Cap Jam"
"2010-05-01","26.4500007629395"
"2010-06-01","29.5499992370605"
"2010-07-01","24.8500003814697"
"2010-08-01","22.75"
"2010-09-01","22.3500003814697"
"2010-10-01","23.2999992370605"
"2010-11-01","23.7000007629395"
"2010-12-01","23.8999996185303"
"2011-01-01","24"
"2011-02-01","24.7000007629395"
"2011-03-01","Cap Jam"
"2011-04-01","Cap Jam"
"2011-05-01","Cap Jam"
"2011-06-01","Cap Jam"
"2011-07-01","Cap Jam"
"2011-08-01","Cap Jam"
"2011-09-01","Cap Jam"
"2011-10-01","Cap Jam"
"2011-11-01","Cap Jam"
"2011-12-01","Cap Jam"
"2012-01-01","Cap Jam"
"2012-02-01","Cap Jam"
"2012-03-01","Cap Jam"
"2012-04-01","Cap Jam"
"2012-05-01","Cap Jam"
"2012-06-01","Cap Jam"
"2012-07-01","Cap Jam"
"2012-08-01","Cap Jam"
"2012-09-01","Cap Jam"
"2012-10-01","15.1499996185303"
"2012-11-01","15.1499996185303"
"2012-12-01","18.1000003814697"
"2013-01-01","19.7999992370605"
"2013-02-01","21.6000003814697"
"2013-03-01","23.5"
"2013-04-01","25.5"
"2013-05-01","26.2000007629395"
"2013-06-01","26.3999996185303"
"2013-07-01","27"
"2013-08-01","27.5"
"2013-09-01","27.7000007629395"
"2013-10-01","27.6000003814697"
"2013-11-01","27.6499996185303"
"2013-12-01","27.75"
"2014-01-01","27.8500003814697"
"2014-02-01","28"
"2014-03-01","28.1800003051758"
"2014-04-01","28.1399993896484"
"2014-05-01","28.7700004577637"
"2014-06-01","28.9200000762939"
"2014-07-01","28.8199996948242"
"2014-08-01","27.7999992370605"
"2014-09-01","29.8999996185303"
"2014-10-01","26.2000007629395"
"2014-11-01","25.7000007629395"
"2014-12-01","25.3500003814697"
"2015-01-01","25.3999996185303"
"2015-02-01","25.5"
"2015-03-01","25.25"
"2015-04-01","25.5"
"2015-05-01","25.6499996185303"
"2015-06-01","26.25"
"2015-07-01","28.2000007629395"
"2015-08-01","31.2000007629395"
"2015-09-01","31.1000003814697"
"2015-10-01","31.1000003814697"
"2015-11-01","31.6000003814697"
"2015-12-01","31.7000007629395"
"2016-01-01","25.3999996185303"
"2016-02-01","25.5"
"2016-03-01","25.25"
"2016-04-01","42.4"
"2016-05-01","38.45"
"2016-06-01","38.42"
"2016-07-01","37.9"
"2016-08-01","38.2"
"2016-09-01","38"
"2016-10-01","38.2"
"2016-11-01","42.1"
"2017-01-01","42.28"
"2017-02-01","42.4"
"2017-03-01","43.13"
"2017-04-01","43.43"
"2017-05-01","46.2"
"2017-06-01","43.44"
"2017-07-01","44.15"
"2017-08-01","43.8"
"2017-09-01","40.5"
"2017-10-01","43.1"
"2017-11-01","43.7"
"2017-12-01","43.2"
"2018-01-01","43.5"
"2018-02-01","44"
"2018-03-01","45.1"
"2018-04-01","45.8"
"2018-05-01","47"
"2018-06-01","46.35"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
