"code","90307"
"taluk","Gadag"
"village","KURTAKOTI"
"lat","15.37361"
"long","75.52556"
"2007-04-01","11.06"
"2007-05-01","11.06"
"2007-06-01","11.06"
"2007-07-01","9.65"
"2007-08-01","8.02"
"2007-09-01","3.86"
"2007-10-01","3.1"
"2007-11-01","0"
"2007-12-01","4.7"
"2008-04-01",7.5
"2008-05-01",9.97
"2008-06-01",7.5
"2008-07-01",9.04
"2008-08-01",9.15
"2008-09-01",9.22
"2008-10-01",9.15
"2008-11-01",9.4
"2008-12-01",9.45
"2009-04-01","9.97"
"2009-05-01","2.3"
"2009-06-01","9.97"
"2009-07-01","10.62"
"2009-08-01","10.92"
"2009-09-01","10.75"
"2009-10-01","10.5"
"2009-11-01","1.25"
"2009-12-01","2.6"
"2010-01-01","1.76"
"2010-02-01","2.26"
"2010-03-01","2.9"
"2010-04-01","2.3"
"2010-05-01","2.9"
"2010-06-01","2"
"2010-07-01","1.95"
"2010-08-01","1.75"
"2010-09-01","1.5"
"2010-10-01","1.7"
"2010-11-01","0.7"
"2010-12-01","0.9"
"2011-01-01","1.25"
"2011-02-01","1.45000004768372"
"2011-03-01","1.5"
"2011-04-01","1.70000004768372"
"2011-05-01","1.79999995231628"
"2011-06-01","3.20000004768372"
"2011-07-01","1.5"
"2011-08-01","1.79999995231628"
"2011-09-01","1.89999997615814"
"2011-10-01","2.09999990463257"
"2011-11-01","1.70000004768372"
"2011-12-01","1.70000004768372"
"2012-01-01","1.79999995231628"
"2012-02-01","2"
"2012-03-01","2.90000009536743"
"2012-04-01","3.59999990463257"
"2012-05-01","3.90000009536743"
"2012-06-01","4"
"2012-07-01","4.15000009536743"
"2012-08-01","4"
"2012-09-01","3.90000009536743"
"2012-10-01","3.79999995231628"
"2012-11-01","3"
"2012-12-01","2.5"
"2013-01-01","Fiiled up"
"2013-02-01","Fiiled up"
"2013-03-01","Fiiled up"
"2013-04-01","Fiiled up"
"2013-05-01","Fiiled up"
"2013-06-01","Fiiled up"
"2013-07-01","Fiiled up"
"2013-08-01","Fiiled up"
"2013-09-01","Fiiled up"
"2013-10-01","Fiiled up"
"2013-11-01","Fiiled up"
"2013-12-01","Fiiled up"
"2014-01-01","Fiiled up"
"2014-02-01","Fiiled up"
"2014-03-01","Fiiled up"
"2014-04-01","Fiiled up"
"2014-05-01","Fiiled up"
"2014-06-01","Fiiled up"
"2014-07-01","Fiiled up"
"2014-08-01","Fiiled up"
"2014-09-01","Fiiled up"
"2014-10-01","Fiiled up"
"2014-11-01","Fiiled up"
"2014-12-01","Fiiled up"
"2015-01-01","Fiiled up"
"2015-02-01","Fiiled up"
"2015-03-01","Fiiled up"
"2015-04-01","Fiiled up"
"2015-05-01","Fiiled up"
"2015-06-01","Fiiled up"
"2015-07-01","Fiiled up"
"2015-08-01","Fiiled up"
"2015-09-01","Fiiled up"
"2015-10-01","Fiiled up"
"2015-11-01","Fiiled up"
"2015-12-01","Fiiled up"
"2016-01-01","Fiiled up"
"2016-02-01","Fiiled up"
"2016-03-01","Fiiled up"
"2016-04-01","0"
"2016-05-01","Fiiled up"
"2016-06-01","Fiiled up"
"2016-07-01","Fiiled up"
"2016-08-01","Fiiled up"
"2016-09-01","Fiiled up"
"2016-10-01","Fiiled up"
"2016-11-01","Fiiled up"
"2017-01-01",NA
"2017-02-01",NA
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01",NA
"2017-07-01","Dry"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Closed"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
